"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"TP_SIGNAL_NAME";
"5";"56";"R-EU_R0603";"R0603";"R33, R36, R37, R40, R72";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"3";"56p";"C-EUC0603";"C0603";"C98, C101, C111";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"2";"5k1";"R-EU_R0603";"R0603";"R53, R61";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"12";"620";"R-EU_R0603";"R0603";"R1, R2, R4, R5, R9, R10, R13, R17, R18, R21, R29, R30";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"6";"68n";"INDUCTOR0603";"R0603";"L7, L8, L13, L14, L23, L24";"";"";"";"";"";"";"";"";"";
"1";"6SLX9TQG144";"6SLX9TQG144";"TQ144";"U2";"Xilinx FPGA: 6SLX9TQG144";"";"";"";"";"";"";"";"";
"3";"6u8";"SRN5040";"SRN5040";"L52, L53, L54";"";"";"";"";"";"";"";"";"";
"2";"82";"R-EU_R0603";"R0603";"R51, R59";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"1";"82k";"R-EU_R0603";"R0603";"R79";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"1";"8p2";"C-EUC0603";"C0603";"C188";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"1";"91k";"R-EU_R0603";"R0603";"R81";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"2";"AP2114H";"AP2114H";"SOT230P700X180-4";"IC17, IC21";"";"";"";"";"";"";"";"";"";
"1";"DCJ0202";"DCJ0202";"DCJ0202";"J3";"DC POWER JACK";"";"";"";"";"unknown";"unknown";"";"";
"11";"DNP";"C-EUC0603";"C0603";"C5, C24, C25, C37, C50, C51, C69, C82, C83, C179, C183";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"4";"DNP";"R-EU_R0603";"R0603";"R11, R25, R41, R77";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"1";"F1958";"F1958";"QFN50P400X400X75-25T270";"IC23";"";"";"";"";"";"";"";"";"";
"4";"F2912";"F2912";"QFN50P400X400X75-21T206";"IC22, IC25, IC26, IC27";"";"";"";"";"";"";"";"";"";
"1";"FA-128 26MHz";"FA-128";"FA-128";"Q1";"MHz RANGE CRYSTAL UNIT";"";"";"";"";"";"";"";"";
"13";"Ferrite";"INDUCTOR0603";"R0603";"L31, L38, L39, L40, L41, L42, L43, L45, L46, L47, L48, L49, L50";"";"";"";"";"";"";"";"";"";
"4";"LDL212PU50R";"LDL212PU50R";"SON95P300X300X100-7T170X240N";"IC28, IC29, IC30, IC31";"";"";"";"";"";"";"";"";"";
"1";"LP0603A0947ANTR";"LP0603A";"FILTRDFN160X84X70-4N";"LP1";"";"";"";"";"";"";"";"";"";
"1";"LP0603A1880ANTR";"LP0603A";"FILTRDFN160X84X70-4N";"LP2";"";"";"";"";"";"";"";"";"";
"1";"LP0603N3500ANTR";"LP0603A";"FILTRDFN160X84X70-4N";"LP3";"";"";"";"";"";"";"";"";"";
"3";"LT5560";"LT5560";"SON50P300X300X80-9T165X238";"IC2, IC6, IC10";"";"";"";"";"";"";"";"";"";
"3";"LTC5510";"LTC5510";"QFN65P400X400X75-17T215N";"IC1, IC5, IC9";"";"";"";"";"";"";"";"";"";
"3";"LTC6362";"LTC6362";"SON50P300X300X80-9T165X238";"IC3, IC7, IC11";"";"";"";"";"";"";"";"";"";
"3";"MABA011082";"MABA011082";"MACOM_BALUN";"T1, T2, T3";"";"";"";"";"";"";"";"";"";
"2";"MAX2871";"MAX2871";"QFN50P500X500X80-33T310";"IC14, IC19";"";"";"";"";"";"";"";"";"";
"3";"MCP33131D-10-E/MS";"MCP33131D-10-E/MS";"SOP50P490X110-10N";"IC4, IC8, IC12";"";"";"";"";"";"";"";"";"";
"1";"MINI-USB-SCHIELD-32005-301";"MINI-USB-SCHIELD-32005-301";"32005-301";"X4";"MINI USB-B Conector";"";"";"";"";"unknown";"unknown";"";"";
"3";"NCP702-1.8";"NCP702";"SOT95P240X110-5";"IC34, IC35, IC36";"";"";"";"";"";"";"";"";"";
"2";"NCP702-3.3";"NCP702";"SOT95P240X110-5";"IC15, IC20";"";"";"";"";"";"";"";"";"";
"2";"RFSW6042";"RFSW6042";"QFN40P180X180X55-13T76N";"IC16, IC18";"";"";"";"";"";"";"";"";"";
"2";"RLB DUT/RF IN";"SMA_CONNECTOR";"J502-ND-142-0711-821/826";"X1, X2";"";"";"";"";"";"";"";"";"";
"1";"SI5351C";"SI5351C";"QFN50P400X400X90-21T270N";"IC13";"";"";"";"";"";"";"";"";"";
"1";"STM32L432KC";"STM32L432KC";"QFN50P500X500X100-33T345N";"IC33";"";"";"";"";"";"";"";"";"";
"3";"TBD";"R-EU_R0603";"R0603";"R73, R74, R75";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"19";"TPB1,27";"TPB1,27";"B1,27";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19";"Test pad";"";"";"";"";"";"";"";"";
"1";"TPS65265";"TPS65265";"QFN50P500X500X100-33T345N";"IC32";"";"";"";"";"";"";"";"";"";
"1";"TRF37A73";"TRF37A73";"SON50P200X200X80-9T90X160N";"IC24";"";"";"";"";"";"";"";"";"";
"2";"U.FL-R-SMT";"U.FL-R-SMT";"U.FL_SMT";"J1, J2";"U.FL-R-SMT Antenna Connector";"H122041-ND";"Hirose";"";"U.FL-R-SMT-1(01)";"";"";"";"";
"1";"W25Q16BVSN";"W25Q16BVSN";"SO08";"U4";"EEPROM";"";"";"";"";"";"";"";"";
